                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8264,                 5.3033,                 3.9263,                 3.4036,                 8.0227,                  3.769,                0.07863,                0.02726,                 0.0232,                0.00972,                 3.8882,                  4.685,                 3.5807,                 3.3365,                 4.9644,                 3.3978,               0.070114,              0.0033207,              0.0033207
                      2,                 2.2521,                 2.5289,                 2.3147,                 1.9731,                 2.9826,                  1.981,                0.00776,                0.49434,                 0.0225,                0.01208,                  3.676,                 2597.1,                 3.6247,                 3.6969,                 2143.7,                  3.307,               0.040081,              0.0066211,              0.0066211
                      3,                 1.6037,                 1.5499,                 1.6436,                 1.5756,                 1.9993,                 1.5458,                0.59706,                0.25535,                0.23555,                0.14553,                 1.8363,                 9.0703,                 1.9314,                 1.8454,                 5.4724,                 1.9644,               0.010015,              0.0098885,              0.0098885
                      4,                 1.3223,                 1.1963,                  1.398,                 1.3758,                 1.5278,                 1.3901,                0.59049,                0.44931,                0.25641,                0.19545,                 2.0286,                 18.769,                 1.8836,                 2.1355,                 11.129,                 1.9622,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1623,                 1.0033,                 1.2923,                  1.249,                  1.217,                 1.3117,                0.79538,                0.85285,                0.90329,                0.71263,                 0.8975,                0.75362,                 1.1925,                0.89019,                0.80589,                 1.1993,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.0867,                 0.8637,                 1.2352,                 1.1702,                0.98906,                 1.2546,                0.87002,                0.56774,                0.59834,                0.40083,                 1.7648,                 3.4461,                 1.5296,                 1.9891,                 2.8327,                  1.619,               0.009802,               0.009802,               0.009802
                      7,                 1.0324,                0.78539,                 1.1975,                  1.128,                0.86398,                 1.2232,                0.66805,                0.59855,                0.55904,                0.40978,                 1.2063,                  2.657,                  1.341,                 1.1779,                 2.5643,                 1.3324,              0.0097525,              0.0097525,              0.0097525
                      8,                 0.9965,                0.72709,                 1.1792,                 1.0926,                0.80229,                 1.2079,                0.79067,                0.82698,                0.82995,                0.66994,                0.84885,                0.77974,                 1.1511,                0.89122,                 1.0019,                 1.1858,               0.009703,               0.009703,               0.009703
                      9,                0.97223,                0.66633,                 1.1523,                 1.0698,                0.74113,                  1.178,                0.68807,                0.89433,                0.80552,                0.66119,                0.84979,                 1.0787,                 1.1588,                0.86007,                 1.5656,                  1.166,              0.0096535,              0.0096535,              0.0096535
                     10,                0.94486,                 0.6431,                 1.1469,                 1.0353,                0.69828,                 1.1696,                  0.449,                0.78492,                0.56015,                0.41056,                 1.1663,                 3.6902,                 1.3689,                 1.1315,                  4.031,                 1.3674,               0.009604,               0.009604,               0.009604
                     11,                0.93695,                0.61172,                 1.1394,                  1.034,                0.67755,                 1.1654,                 0.8011,                0.85287,                0.88644,                0.71953,                0.76039,                0.70953,                 1.1186,                0.82195,                0.70338,                 1.1495,              0.0095545,              0.0095545,              0.0095545
                     12,                 0.9332,                0.59712,                 1.1357,                 1.0229,                0.62738,                 1.1576,                0.67717,                0.87851,                0.81789,                0.65659,                  0.819,                  1.095,                 1.1448,                0.85264,                 1.0711,                  1.164,               0.009505,               0.009505,               0.009505
                     13,                0.91132,                0.57868,                 1.1168,                 1.0026,                0.62297,                 1.1415,                0.63075,                0.73897,                 0.6265,                0.50899,                 0.8948,                 2.3983,                 1.2086,                0.90439,                 2.2533,                 1.2248,              0.0094555,              0.0094555,              0.0094555
                     14,                0.89919,                0.55984,                 1.1195,                0.98465,                0.59977,                 1.1397,                0.39923,                0.83872,                0.52801,                0.43392,                0.93376,                 3.1499,                 1.2475,                 0.9343,                 2.6289,                 1.2459,               0.009406,               0.009406,               0.009406
                     15,                0.88138,                0.54595,                 1.1076,                0.96516,                0.55902,                 1.1284,                0.59158,                0.68015,                0.53548,                0.43485,                0.93057,                 3.8109,                 1.1914,                0.91055,                 3.8775,                 1.2012,              0.0093565,              0.0093565,              0.0093565
                     16,                 0.8739,                0.53628,                 1.1074,                0.95967,                0.54495,                 1.1272,                 0.9244,                0.90316,                0.97524,                0.79551,                0.75673,                0.49731,                  1.097,                 0.8056,                0.44716,                 1.1269,               0.009307,               0.009307,               0.009307
                     17,                0.87339,                0.52853,                 1.0985,                0.95672,                 0.5183,                 1.1155,                0.94114,                0.94715,                0.97626,                0.82999,                 0.6916,                0.43176,                 1.0849,                0.71204,                0.37832,                 1.0974,              0.0092575,              0.0092575,              0.0092575
                     18,                0.86383,                 0.5205,                 1.0991,                0.94621,                  0.524,                 1.1162,                0.93782,                0.93609,                 0.9761,                0.81212,                0.69305,                0.43069,                 1.0694,                0.71381,                0.36143,                 1.0775,               0.009208,               0.009208,               0.009208
                     19,                0.85657,                0.50584,                 1.0909,                0.94202,                0.48605,                 1.1097,                   0.15,                0.50808,                0.16857,                0.12716,                 1.7639,                 7.4158,                 1.5355,                 1.7691,                  5.544,                 1.4844,              0.0091585,              0.0091585,              0.0091585
                     20,                0.84957,                0.50747,                 1.0911,                 0.9388,                0.49545,                 1.1125,                0.93202,                0.95479,                 0.9771,                0.82634,                0.68972,                0.45237,                 1.0733,                0.69258,                0.36508,                 1.0707,               0.009109,               0.009109,               0.009109
                     21,                0.83631,                0.49334,                 1.0801,                0.91598,                0.46685,                 1.0984,                0.95453,                0.94953,                0.98511,                  0.836,                0.67168,                0.37158,                 1.0656,                0.68373,                0.30787,                  1.083,              0.0090595,              0.0090595,              0.0090595
                     22,                0.84149,                0.49356,                  1.086,                0.92061,                0.47416,                 1.1028,                0.84216,                0.90309,                 0.8898,                0.74334,                0.73411,                0.88488,                  1.101,                0.75282,                0.83332,                 1.1107,                0.00901,                0.00901,                0.00901
                     23,                0.84101,                0.48988,                 1.0833,                0.91929,                0.46241,                 1.1003,                0.92822,                0.91159,                 0.9547,                0.81133,                0.66239,                0.51439,                 1.0668,                 0.6655,                0.52335,                 1.0629,              0.0089605,              0.0089605,              0.0089605
                     24,                0.82574,                0.47977,                 1.0767,                0.90533,                0.44948,                 1.0948,                0.96171,                0.93963,                0.98472,                0.83156,                0.68043,                0.39395,                 1.0626,                0.69219,                  0.362,                 1.0787,               0.008911,               0.008911,               0.008911
                     25,                0.81707,                0.47468,                 1.0762,                0.89182,                0.43374,                 1.0926,                 0.7637,                 0.9166,                0.80497,                0.67007,                0.75687,                 1.3863,                 1.1129,                0.79709,                 1.6835,                 1.1434,              0.0088615,              0.0088615,              0.0088615
                     26,                0.83199,                0.48463,                 1.0867,                0.90983,                0.45358,                 1.1051,                0.70865,                 0.9061,                0.82618,                0.67588,                0.79168,                 1.4385,                 1.1422,                0.82639,                 1.4811,                 1.1672,               0.008812,               0.008812,               0.008812
                     27,                0.82894,                0.46867,                 1.0768,                0.90904,                0.42954,                 1.0923,                0.96298,                0.97158,                0.98952,                0.83638,                0.66937,                0.37992,                  1.058,                0.68969,                0.27949,                 1.0644,              0.0087625,              0.0087625,              0.0087625
                     28,                0.81403,                0.46387,                 1.0721,                0.88774,                0.42195,                 1.0829,                0.78527,                0.79704,                0.93577,                0.77858,                0.74193,                 2.1187,                 1.1053,                0.77495,                 1.1414,                 1.1278,               0.008713,               0.008713,               0.008713
                     29,                0.81459,                0.45885,                 1.0728,                0.89323,                0.41037,                 1.0865,                0.81879,                0.93215,                0.86768,                0.73215,                0.73041,                 1.0205,                 1.1036,                0.75146,                 1.0233,                 1.1118,              0.0086635,              0.0086635,              0.0086635
                     30,                0.80132,                0.44955,                 1.0611,                0.86886,                0.40448,                 1.0713,                0.45583,                0.77251,                 0.4923,                0.43069,                0.76768,                 2.6304,                 1.1459,                0.79411,                 2.6187,                 1.1616,               0.008614,               0.008614,               0.008614
                     31,                0.80199,                0.45021,                 1.0643,                0.87158,                0.40358,                  1.077,                0.62632,                0.38943,                0.52355,                0.40662,                 1.0923,                 1.9161,                   1.42,                 1.1108,                 2.8808,                 1.4448,              0.0085645,              0.0085645,              0.0085645
                     32,                0.80415,                0.45227,                 1.0703,                0.87844,                0.39846,                 1.0809,                 0.9703,                 0.9801,                0.98976,                0.82729,                0.67521,                  0.335,                 1.0645,                0.70076,                0.24616,                 1.0715,               0.008515,               0.008515,               0.008515
                     33,                0.79733,                0.44817,                   1.06,                0.86562,                0.39627,                 1.0689,                0.87291,                0.51985,                0.66076,                0.48254,                   1.07,                 2.4717,                 1.2664,                 1.1361,                 3.1563,                 1.2954,              0.0084655,              0.0084655,              0.0084655
                     34,                0.79591,                0.44072,                  1.068,                0.87097,                0.39588,                 1.0838,                0.86456,                0.88275,                0.93962,                0.78686,                0.69969,                0.78311,                 1.0708,                0.72664,                0.70545,                 1.0988,               0.008416,               0.008416,               0.008416
                     35,                 0.7836,                0.43368,                  1.052,                0.85995,                0.38999,                 1.0659,                0.96388,                0.97721,                0.99019,                0.83769,                0.62532,                0.31522,                 1.0389,                0.66142,                0.25698,                 1.0593,              0.0083665,              0.0083665,              0.0083665
                     36,                0.79741,                0.45005,                 1.0661,                 0.8691,                0.39869,                 1.0778,                0.87682,                0.72006,                0.94629,                0.78941,                0.69973,                0.98912,                 1.0755,                0.73026,                 1.0598,                 1.0899,               0.008317,               0.008317,               0.008317
                     37,                   0.78,                0.43403,                 1.0543,                0.84982,                0.38272,                 1.0653,                 0.7979,                0.89447,                0.85268,                0.72208,                0.70251,                0.95095,                 1.0839,                0.72608,                 1.1481,                 1.0966,              0.0082675,              0.0082675,              0.0082675
                     38,                0.78481,                  0.432,                 1.0611,                 0.8611,                0.38236,                 1.0758,                0.82425,                0.94107,                0.94722,                0.79784,                0.70218,                0.80056,                 1.0716,                0.71074,                0.91953,                 1.0777,               0.008218,               0.008218,               0.008218
